1, 0000-00-00, FDABFAD001, Ovaltine T Shirts, Ovaltine T Shirts, PCS, Standard, 1, 0000-00-00, OFF, 3, 2013-06-16 16:39:11
2, 0000-00-00, FDABFAD002, Ovaltine Caps, Ovaltine Caps, PCS, Standard, 0, 0000-00-00, OFF, 3, 2013-06-16 16:39:49
3, 0000-00-00, FDABFAD003, Ovaltine Buntings, Ovaltine Buntings, PCS, Standard, 0, 0000-00-00, OFF, 3, 2013-06-16 16:40:14
4, 0000-00-00, FDACGL0001, DABUR GLUCOSE 450gmx24, DABUR GLUCOSE 450gmx24, PCS, Standard, 0, 0000-00-00, OFF, 6, 2013-06-16 16:40:41
5, 0000-00-00, FDDFAD0001, Mcvities polo t shirt, Mcvities polo t shirt, PCS, POSM, 0, 0000-00-00, OFF, 5, 2013-06-16 16:41:30
6, 0000-00-00, FDFECH0001, ROCHER CHOCOLATE 3x16x6, ROCHER CHOCOLATE 3x16x6, PCS, Standard, 0, 0000-00-00, OFF, 8, 2013-06-16 16:45:04
7, 0000-00-00, FDFECH0002, ROCHER CHOCOLATE 16x5x4, ROCHER CHOCOLATE 16x5x4, PCS, POSM, 0, 0000-00-00, OFF, 8, 2013-06-16 17:29:51
8, 0000-00-00, FDFECH0003, ROCHER CHOCOLATE T.30x3x4, ROCHER CHOCOLATE T.30x3x4, PCS, POSM, 0, 0000-00-00, OFF, 8, 2013-06-16 17:30:21
9, 0000-00-00, FDFECH0013, TIC TAC MINT SUGAR CANDY, TIC TAC MINT SUGAR CANDY, PCS, Standard, 0, 0000-00-00, OFF, 6, 2013-06-16 17:31:23
10, 0000-00-00, FDFECH0014, TIC TAC ORAGE SUGAR CANDY, TIC TAC ORAGE SUGAR CANDY, PCS, POSM, 0, 0000-00-00, OFF, 6, 2013-06-16 17:31:51
11, 0000-00-00, FDFECH0015, TIC TAC ACEROLA SUGAR CANDY, TIC TAC ACEROLA SUGAR CANDY, PCS, POSM, 0, 0000-00-00, OFF, 6, 2013-06-16 17:32:29
12, 0000-00-00, FDFECH0016, TIC TAC PASSION FRUIT CANDY, TIC TAC PASSION FRUIT CANDY, PCS, POSM, 0, 0000-00-00, OFF, 6, 2013-06-16 17:33:16
